POC,frameWidth,frameHeight,puX,puY,puWidth,puHeight,biPred,nCP,LT_X,LT_Y,RT_X,RT_Y,LB_X,LB_Y,subX,subY,mv_X,mv_Y
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,0,0,27,4
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,4,0,27,3
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,8,0,27,2
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,12,0,27,2
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,16,0,27,1
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,20,0,27,1
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,24,0,27,0
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,28,0,27,-1
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,32,0,26,-1
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,36,0,26,-2
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,40,0,26,-2
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,44,0,26,-3
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,48,0,26,-4
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,52,0,26,-4
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,56,0,26,-5
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,60,0,26,-6
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,64,0,25,-6
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,68,0,25,-7
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,72,0,25,-7
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,76,0,25,-8
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,80,0,25,-9
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,84,0,25,-9
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,88,0,25,-10
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,92,0,25,-11
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,96,0,24,-11
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,100,0,24,-12
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,104,0,24,-12
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,108,0,24,-13
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,112,0,24,-14
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,116,0,24,-14
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,120,0,24,-15
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,124,0,24,-16
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,0,4,27,4
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,4,4,26,3
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,8,4,26,3
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,12,4,26,2
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,16,4,26,1
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,20,4,26,1
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,24,4,26,0
3,1920,1080,768,256,128,128,0,3,28,4,24,-16,0,8,28,4,26,0
